image name,AP,AP50,AP75,APsmall,APmedium,APlarge,AR1,AR10,AR100,ARsmall,ARmedium,ARlarge
175.txt,0.5178217821782178,0.8349834983498351,0.8349834983498351,-1,0.6252475247524752,-1,0.3,0.65,0.65,-1,0.65,-1
176.txt,0.7,1.0,1.0,-1,0.7,-1,0.7,0.7,0.7,-1,0.7,-1
177.txt,0.8,1.0,1.0,-1,0.8,-1,0.8,0.8,0.8,-1,0.8,-1
178.txt,0.5,1.0,0.0,-1,0.5,-1,0.5,0.5,0.5,-1,0.5,-1
179.txt,0.8,1.0,1.0,-1,0.8,-1,0.8,0.8,0.8,-1,0.8,-1
18.txt,0.6,1.0,1.0,-1,0.6,-1,0.6,0.6,0.6,-1,0.6,-1
180.txt,0.07722772277227723,0.25742574257425743,0.0,0.0,0.3,-1,0.075,0.075,0.075,0.0,0.3,-1
181.txt,0.8,1.0,1.0,-1,0.8,-1,0.4,0.8,0.8,-1,0.8,-1
182.txt,0.5495049504950495,1.0,0.6633663366336634,-1,0.5495049504950495,-1,0.2,0.5666666666666667,0.5666666666666667,-1,0.5666666666666667,-1
183.txt,0.8,1.0,1.0,-1,0.8,-1,0.4,0.8,0.8,-1,0.8,-1
184.txt,0.5475247524752476,0.6633663366336634,0.6633663366336634,-1,0.5475247524752476,-1,0.26666666666666666,0.5666666666666667,0.5666666666666667,-1,0.5666666666666667,-1
185.txt,0.16831683168316833,0.33663366336633666,0.0,-1,0.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,-1,0.0,0.5
186.txt,0.45247524752475243,0.8349834983498351,0.504950495049505,-1,0.45247524752475243,-1,0.35,0.5,0.5,-1,0.5,-1
187.txt,0.3,0.5,0.5,-1,0.3,-1,0.0,0.6,0.6,-1,0.6,-1
188.txt,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1
189.txt,0.0,0.0,0.0,-1,0.0,-1,0.0,0.0,0.0,-1,0.0,-1
19.txt,0.6,1.0,1.0,-1,-1,0.6,0.6,0.6,0.6,-1,-1,0.6
190.txt,0.6504950495049504,1.0,1.0,-1,0.6504950495049504,-1,0.35,0.65,0.65,-1,0.65,-1
191.txt,0.4,1.0,0.0,-1,0.4,-1,0.4,0.4,0.4,-1,0.4,-1
193.txt,0.8,1.0,1.0,-1,0.8,-1,0.8,0.8,0.8,-1,0.8,-1
194.txt,0.5,1.0,0.0,-1,0.5,-1,0.5,0.5,0.5,-1,0.5,-1
195.txt,0.35346534653465345,0.504950495049505,0.504950495049505,0.0,0.7,-1,0.35,0.35,0.35,0.0,0.7,-1
196.txt,0.45049504950495045,1.0,0.16831683168316833,-1,0.45049504950495045,-1,0.13333333333333333,0.5,0.5,-1,0.5,-1
197.txt,0.3336633663366337,0.6633663366336634,0.33663366336633666,0.0,0.501980198019802,-1,0.2333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.5,-1
198.txt,0.400990099009901,1.0,0.0,-1,0.3,0.5,0.25,0.4,0.4,-1,0.3,0.5
199.txt,0.6504950495049504,1.0,1.0,-1,0.6504950495049504,-1,0.3,0.7,0.7,-1,0.7,-1
2.txt,0.4854785478547855,0.8349834983498351,0.504950495049505,-1,0.4854785478547855,-1,0.35,0.55,0.55,-1,0.55,-1
20.txt,0.7,1.0,1.0,-1,-1,0.7,0.7,0.7,0.7,-1,-1,0.7
200.txt,0.6514851485148515,1.0,0.504950495049505,-1,0.5,0.8,0.4,0.65,0.65,-1,0.5,0.8
201.txt,0.7,1.0,1.0,-1,0.7,0.7,0.35,0.7,0.7,-1,0.7,0.7
202.txt,0.7504950495049505,1.0,1.0,-1,0.7504950495049505,-1,0.35,0.8,0.8,-1,0.8,-1
203.txt,0.7,1.0,1.0,-1,-1,0.7,0.7,0.7,0.7,-1,-1,0.7
204.txt,0.5534653465346535,1.0,0.504950495049505,-1,0.2,0.9,0.45,0.55,0.55,-1,0.2,0.9
205.txt,0.2524752475247525,0.504950495049505,0.0,-1,0.2524752475247525,-1,0.25,0.25,0.25,-1,0.25,-1
206.txt,0.6,1.0,1.0,-1,-1,0.6,0.6,0.6,0.6,-1,-1,0.6
207.txt,0.45148514851485155,1.0,0.504950495049505,-1,0.45148514851485155,-1,0.3,0.45,0.45,-1,0.45,-1
208.txt,0.2957095709570957,0.6039603960396039,0.27062706270627057,0.0,0.4884488448844884,-1,0.08,0.32,0.32,0.0,0.5333333333333333,-1
209.txt,0.403960396039604,0.504950495049505,0.504950495049505,-1,0.0,0.8,0.4,0.4,0.4,-1,0.0,0.8
